QA_Dataset
qa_dataset,
question,answer
In which year did the Beryl disaster occur?,2024
Where did the Beryl disaster occur?,"Caribbean,Venezuela,Yucatán Peninsula, United States"
How many people died in the Beryl disaster?,70 (45 in the US)
"In which year did the Beryl disaster occur, and how many people died?","2024, 70 (45 in the US)"
In which year did the Nicole disaster occur?,2022
Where did the Nicole disaster occur?,"Dominican Republic,Puerto Rico,The Bahamas,Southeastern United States"
How many people died in the Nicole disaster?,11
"In which year did the Nicole disaster occur, and how many people died?","2022, 11"
"How many people died in the Nicole disaster in Dominican Republic,Puerto Rico,The Bahamas,Southeastern United States?",11
"In which year did the Nicole disaster happen in Dominican Republic,Puerto Rico,The Bahamas,Southeastern United States?",2022
"How many people died in Dominican Republic,Puerto Rico,The Bahamas,Southeastern United States during the Nicole disaster?",11
"What was the damage cost in Dominican Republic,Puerto Rico,The Bahamas,Southeastern United States due to the Nicole disaster?",≥ $1 billion
What was the damage caused by the Delta disaster?,$3.086 billion
What was the Hurricane event that occurred in 2020?,Delta
"In which year did the Delta disaster occur, and what was its damage cost?","2020, $3.086 billion"
What was the death toll and the damage cost of the Delta disaster?,"6, $3.086 billion"
"In which year did the Delta disaster occur, and how many people died?","2020, 6"
"How many people died in the Delta disaster in Jamaica,Nicaragua,Cayman Islands,Yucatán Peninsula,Gulf Coast of the United States,Southeastern United States,Northeastern United States?",6
"In which year did the Delta disaster happen in Jamaica,Nicaragua,Cayman Islands,Yucatán Peninsula,Gulf Coast of the United States,Southeastern United States,Northeastern United States?",2020
In which year did the Arson disaster occur from the below options: A. 1942.0 B. 1639 C. 1906 D. 1900  and what was its damage cost?,"A, Atlantic Canada"
"In which year did the Arson disaster occur, and how many people died?","1942, 99"
In which year did the Arson disaster occur from the below options: A. 1611 B. 1363 C. 1688 D. 1942.0  and how many people died?,"D, 99"
How many people died in Arson disaster from the below options: A. 87 B. 75 C. 106 D. 99.0  and in which year did the disaster occur?,"D, 1942"
In which year did the Arson disaster occur from the below options: A. 1611 B. 1363 C. 1688 D. 1942.0  and How many people died in Arson disaster from the below options: A. 87 B. 75 C. 106 D. 99.0,"D, D"
What was the death toll and the damage cost of the Arson disaster?,"99, Atlantic Canada"
How many people died in Arson disaster from the below options: A. 78 B. 99.0 C. 59 D. 122  and what was the damage cost?,"B, Atlantic Canada"
"In which year did the Outbreak disaster occur, and what was its damage cost?","2018, Prairies"
"At what date did the Outbreak disaster occur in the format of YYYY-MM-DD, and what was its damage cost?","2018-07-09, Prairies"
"In which year did the Outbreak started, and what was its damage cost?","2018, Prairies"
"At what date did the Outbreak started in the format of YYYY-MM-DD, and what was its damage cost?","2018-07-09, Prairies"
"In which year did the Outbreak ended, and what was its damage cost?","2025, Prairies"
"At what date did the Outbreak ended in the format of YYYY-MM-DD, and what was its damage cost?","2025-05-10, Prairies"
"How many days did the Outbreak lasted for, and what was its damage cost?","2497, Prairies"
"How many months did the Outbreak lasted for, and what was its damage cost?","83, Prairies"
In which year did the Outbreak disaster occur from the below options: A. 2877 B. 2018.0 C. 2285 D. 1527  and what was its damage cost?,"B, Prairies"
In which year did the Dust Bowl disaster happen in Great Plains?,1931
In which year did the Dust Bowl started in Great Plains?,1931
In which year did the Dust Bowl ended in Great Plains?,1939
In which year did the Dust Bowl disaster occur from the below options: A. 1352 B. 1134 C. 1931.0 D. 2877  and in which location?,"C, Great Plains"
In which year did the Dust Bowl ended from the below options: A. 2123 B. 2642 C. 2484 D. 1939.0  and in which location?,"D, Great Plains"
In which year did the Dust Bowl disaster occur from the below options: A. 1352 B. 1134 C. 1931.0 D. 2877  and In which year did the Dust Bowl ended from the below options: A. 2123 B. 2642 C. 2484 D. 1939.0,"C, D"
आगजनी की आपदा किस वर्ष में हुई थी?,1942
"1942 में सेंट जॉन्स, न्यूफ़ाउंडलैंड में हुई कोलंबस हॉस्टल फायर इवेंट के शूरवीरों क्या था?",आगजनी
"आगजनी की आपदा किस वर्ष में हुई, और इसकी क्षति लागत क्या थी?","1942, अटलांटिक कनाडा"
नीचे दिए गए विकल्पों से आगजनी की आपदा किस वर्ष में हुई थी: ए। 1564 बी। 2504 सी। 2653 डी। 1942.0 और इसकी क्षति लागत क्या थी?,"डी, अटलांटिक कनाडा"
"आगजनी की आपदा किस वर्ष में हुई, और कितने लोग मारे गए?","1942, 99"
नीचे दिए गए विकल्पों से आगजनी की आपदा किस वर्ष में हुई थी: ए। 1530 बी। 1965 सी। 1942.0 डी। 2016 और कितने लोगों की मृत्यु हुई?,"सी, 99"
नीचे दिए गए विकल्पों से आगजनी की आपदा में कितने लोग मारे गए: ए। 97 बी। 120 सी। 131 डी। 99.0 और आपदा किस वर्ष में हुई?,"डी, 1942"
नीचे दिए गए विकल्पों से आगजनी की आपदा किस वर्ष में हुई थी: ए। 1530 बी। 1965 सी। 1942.0 डी। 2016 और नीचे दिए गए विकल्पों से आगजनी की आपदा में कितने लोगों की मृत्यु हो गई: ए। 97 बी। 120 सी। 131 डी। 99.0 99.0,"सी, डी"
"सेंट जॉन्स, न्यूफ़ाउंडलैंड में आगजनी की आपदा किस वर्ष में हुई थी?",1942
¿En qué año ocurrió el desastre incendiado por el incendio y cuál fue su costo de daño?,"1972, Canadá central"
¿En qué año ocurrió el desastre incendiado por el incendio de las opciones a continuación: A. 1972.0 B. 2357 C. 1889 D. 1139 y cuál fue su costo de daño?,"A, Central Canadá"
¿En qué año se produjo el desastre incendiario y cuántas personas murieron?,"1972, 37"
¿En qué año se produjo el desastre incendio de las opciones a continuación: A. 1972.0 B. 1419 C. 1080 D. 1482 y cuántas personas murieron?,"A, 37"
¿Cuántas personas murieron en el desastre incendiario de las opciones a continuación: A. 52 B. 37.0 C. 30 D. 34 y en qué año ocurrió el desastre?,"B, 1972"
En cuyo año se produjo el desastre incendiado por el incendio de las opciones a continuación: A. 1972.0 B. 1419 C. 1080 D. 1482 y cuántas personas murieron en el desastre de un incendio provocado por las siguientes opciones: A. 52 B. 37.0 C. 30 D. 34,"A, B"
"¿En qué año ocurrió el desastre incendiado en Montreal, Quebec?",1972
¿En qué año se produjo el desastre incendiado por el incendio de las opciones a continuación: A. 1972.0 B. 2310 C. 2697 D. 2571 y en qué ubicación?,"A, Montreal, Quebec"
