QA_Dataset
Question,Answer
"What was the Blue Bird Café fire event that occurred in 1972 in Montreal, Quebec?",arson
In what year did the Worldwideinfluenza disaster take place?,1918
"What was the Hurricane event that occurred in 2020 in Lesser Antilles,Greater Antilles,The Bahamas,Gulf Coast of the United States,Midwestern United States,Eastern United States?",laura
What was the Blizzard event that occurred in 1940 in North and Central Midwest?,armistice day
In what year did the Armistice Day disaster take place?,1940
दुनिया भर में इन्फ्लूएंजा की आपदा किस वर्ष में हुई थी?,दुनिया भर में इन्फ्लूएंजा की आपदा किस वर्ष में हुई थी?
2017 में फ्लोरिडा और प्यूर्टो रिको में तूफान की घटना क्या थी?,मारिया
"2016 में फ्लोरिडा, जॉर्जिया, कैरोलिनास में तूफान की घटना क्या थी?",मैथ्यू
एलीसन आपदा किस वर्ष में हुई?,2001
"1985 में न्यूयॉर्क, न्यू जर्सी, उत्तरी कैरोलिना, न्यू इंग्लैंड में तूफान की घटना क्या थी?",ग्लोरिया
"¿Cuál fue el evento Blue Bird Café Fire que ocurrió en 1972 en Montreal, Quebec?",incendio provocado
"¿Cuál fue el evento de huracanes que ocurrió en 2020 en Colombia, Jamaica, América Central, Islas Caimán, Cuba, Bahamas, Sureste de los Estados Unidos?",eta
"¿Cuál fue el evento de huracán que ocurrió en 2005 en Florida, Louisiana, Mississippi, Alabama?",katrina
"¿Cuál fue el evento de huracán que ocurrió en 1985 en Nueva York, Nueva Jersey, Carolina del Norte, Nueva Inglaterra?",gloria
What was the death toll and the damage cost of the Laura disaster?,"77, $19.1 billion"
How many people died in Laura disaster from the below options: A. 77.0 B. 75 C. 70 D. 86  and what was the damage cost?,"a, $19.1 billion"
What is the damage cost of Laura disaster from the below options: A. 24 B. 19.1 C. 21 D. 25  and how many people died?,"b, 77"
How many people died in the Goodwin disaster in Arizona?,0
"How many people died in the Rita disaster in Louisiana,Texas?",120
What was the death toll and the damage cost of the Alicia disaster?,"21, $3 billion"
What is the damage cost of Camille disaster from the below options: A. 2 B. 1.42 C. 3 D. 0  and how many people died?,"b, 256"
在加利福尼亚的营地灾难中有多少人死亡？,85
在西非的佛罗伦萨灾难中，有多少人死亡，美国东海岸（尤其是卡罗来纳州），加拿大大西洋，加拿大的佛罗伦萨灾难？,54
在亚利桑那州的古德温灾难中有多少人死亡？,0
¿Cuál fue el número de muertos del desastre de Irma?,134
